Scheme Code,ISIN Div Payout/ISIN Growth,ISIN Div Reinvestment,Scheme Name,Net Asset Value,AMC Name
145725,-,INF277K019Q9,TATA Arbitrage Fund Direct Plan - Monthly Reinvestment of Income Distribution cum capital withdrawal option,14.1309,Unknown AMC
145728,INF277K016Q5,-,TATA Arbitrage Fund Regular Plan - Monthly Payout of Income Distribution cum capital withdrawal option ,13.4021,Unknown AMC
145726,-,INF277K010R6,TATA Arbitrage Fund Regular Plan - Monthly Reinvestment of Income Distribution cum capital withdrawal option ,13.4021,Unknown AMC
145724,INF277K017Q3,-,Tata Arbitrage Fund-Direct Plan-Growth,14.7097,Tata Mutual Fund
145723,INF277K015Q7,-,Tata Arbitrage Fund-Regular Plan-Growth,14.0206,Tata Mutual Fund
146297,INF582M01ES7,-,Union Arbitrage Fund - Direct Plan - Growth Option,14.1786,Union Mutual Fund
146296,INF582M01EU3,INF582M01ET5,Union Arbitrage Fund - Direct Plan - IDCW Option,13.8421,Union Mutual Fund
146294,INF582M01EW9,-,Union Arbitrage Fund - Regular Plan - Growth Option,13.7279,Union Mutual Fund
146295,INF582M01EY5,INF582M01EX7,Union Arbitrage Fund - Regular Plan - IDCW Option,13.4043,Union Mutual Fund
120795,INF789FB1RG6,-,UTI Arbitrage Fund - Direct Plan - Growth Option,36.3297,UTI Mutual Fund
120796,INF789FB1RE1,INF789FB1RF8,UTI Arbitrage Fund - Direct Plan - IDCW,21.2513,UTI Mutual Fund
104075,INF789FB1RJ0,-,UTI Arbitrage Fund - Regular Plan - Growth Option,34.1971,UTI Mutual Fund
104074,INF789FB1RH4,INF789FB1RI2,UTI Arbitrage Fund - Regular Plan - IDCW,19.3188,UTI Mutual Fund
152849,INF03VN01910,-,WhiteOak Capital Arbitrage Fund Direct Plan Growth,10.34,WhiteOak Capital Mutual Fund
152850,INF03VN01928,-,WhiteOak Capital Arbitrage Fund Regular Plan Growth,10.305,WhiteOak Capital Mutual Fund
152073,INF579M01AZ6,INF579M01BA7,360 ONE Balanced Hybrid Fund - Direct Plan - IDCW,12.1303,360 ONE Mutual Fund
152075,INF579M01AV5,-,360 ONE Balanced Hybrid Fund - Regular Plan - Growth,11.8754,360 ONE Mutual Fund
152076,INF579M01AY9,-,360 ONE Balanced Hybrid Fund- Direct Plan - Growth,12.1303,360 ONE Mutual Fund
152074,INF579M01AW3,INF579M01AX1,360 ONE Balanced Hyrbrid fund - Regular Plan - IDCW,11.8754,360 ONE Mutual Fund
